Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
60,American elm,3.0,39.15,16.0,1.36,2.8,0.24,12.3,0.11,N/A,N/A,1.1,0.25,N/A,0.59
61,Bur oak,2.6,78.30,11.6,0.99,1.3,0.11,11.2,0.10,N/A,N/A,1.0,0.23,N/A,0.44
62,American basswood,3.4,71.23,17.8,1.52,2.0,0.17,16.1,0.14,N/A,N/A,1.4,0.33,N/A,0.64
63,American elm,1.8,39.15,4.7,0.40,1.4,0.12,5.9,0.05,N/A,N/A,0.5,0.12,N/A,0.29
64,Siberian elm,3.6,26.62,29.0,2.48,4.1,0.35,16.3,0.15,N/A,N/A,1.4,0.33,N/A,0.83
65,Sugar maple,2.6,97.88,18.8,1.60,2.0,0.17,14.2,0.13,N/A,N/A,1.2,0.29,N/A,0.58
66,Swamp white oak,2.6,78.30,40.2,3.43,5.7,0.49,9.9,0.09,N/A,N/A,0.8,0.20,N/A,0.77
67,Pin oak,20.1,"4,069.12","1,819.1",155.13,37.4,3.19,486.3,4.35,N/A,N/A,41.6,9.86,N/A,17.40
68,American elm,1.8,39.15,4.7,0.40,1.4,0.12,5.9,0.05,N/A,N/A,0.5,0.12,N/A,0.29
69,Pin oak,26.8,"7,225.39","3,230.1",275.45,49.8,4.25,799.1,7.14,N/A,N/A,68.4,16.21,N/A,27.60
70,Eastern white pine,18.2,"3,338.19",757.7,64.61,19.9,1.70,339.4,3.03,N/A,N/A,29.1,6.88,N/A,11.62
71,Eastern white pine,17.7,"3,157.89",709.4,60.50,19.2,1.63,328.0,2.93,N/A,N/A,28.1,6.65,N/A,11.22
72,Eastern white pine,16.8,"2,846.01",627.1,53.48,17.8,1.52,306.9,2.74,N/A,N/A,26.3,6.23,N/A,10.49
73,Northern red oak,2.1,78.30,8.4,0.72,1.6,0.14,8.8,0.08,N/A,N/A,0.8,0.18,N/A,0.40
74,Prairie crabapple,7.4,543.96,199.0,16.97,10.6,0.90,33.8,0.30,N/A,N/A,2.9,0.68,N/A,1.89
75,Prairie crabapple,10.5,936.26,469.0,39.99,17.5,1.49,62.6,0.56,N/A,N/A,5.4,1.27,N/A,3.32
76,Prairie crabapple,6.8,267.40,161.8,13.79,9.4,0.80,29.3,0.26,N/A,N/A,2.5,0.59,N/A,1.66
77,Sugar maple,1.8,97.88,7.6,0.65,1.2,0.10,6.5,0.06,N/A,N/A,0.6,0.13,N/A,0.29
78,Sugar maple,2.3,97.88,14.0,1.19,1.7,0.14,11.0,0.10,N/A,N/A,0.9,0.22,N/A,0.46
79,Sugar maple,2.4,97.88,15.5,1.32,1.8,0.15,12.0,0.11,N/A,N/A,1.0,0.24,N/A,0.50
80,Northern red oak,30.0,"9,051.07","5,372.0",458.10,69.1,5.89,435.2,3.89,N/A,N/A,37.3,8.83,N/A,18.61
81,American elm,2.9,39.15,14.7,1.26,2.6,0.22,11.7,0.10,N/A,N/A,1.0,0.24,N/A,0.57
82,Star magnolia,9.5,794.87,367.9,31.37,10.4,0.89,110.3,0.99,N/A,N/A,9.4,2.24,N/A,4.11
83,Northern red oak,19.9,"3,988.77","1,981.7",168.99,38.5,3.28,373.2,3.33,N/A,N/A,32.0,7.57,N/A,14.19
84,Norway maple,10.4,"1,097.47",463.6,39.53,20.6,1.76,97.2,0.87,N/A,N/A,8.3,1.97,N/A,4.60
85,Blue spruce,10.9,"1,379.75",385.0,32.83,7.9,0.68,116.8,1.04,N/A,N/A,10.0,2.37,N/A,4.09
86,Black maple,23.4,"4,259.06","3,094.1",263.85,46.8,3.99,501.3,4.48,N/A,N/A,42.9,10.17,N/A,18.64
87,Swamp white oak,19.8,"3,948.89","2,008.9",171.31,41.9,3.57,429.4,3.84,N/A,N/A,36.8,8.71,N/A,16.12
88,Green ash,21.9,"4,828.48","1,409.8",120.22,25.5,2.18,419.6,3.75,N/A,N/A,35.9,8.51,N/A,14.44
89,Littleleaf linden,29.1,"10,520.20","3,699.5",315.48,47.6,4.06,423.3,3.78,N/A,N/A,36.3,8.59,N/A,16.43
90,White ash,18.2,"3,338.19","1,621.0",138.23,33.7,2.87,404.6,3.62,N/A,N/A,34.6,8.21,N/A,14.69
91,American basswood,18.0,"2,574.91",908.0,77.43,18.9,1.61,398.4,3.56,N/A,N/A,34.1,8.08,N/A,13.26
92,White oak,18.2,"4,046.93","1,649.9",140.70,25.0,2.13,449.0,4.01,N/A,N/A,38.4,9.11,N/A,15.25
93,Prairie crabapple,6.4,236.87,139.4,11.89,8.6,0.73,26.5,0.24,N/A,N/A,2.3,0.54,N/A,1.51
94,Pin oak,29.4,"8,693.09","3,886.3",331.40,54.6,4.66,936.8,8.37,N/A,N/A,80.2,19.00,N/A,32.03
95,Thornless honeylocust,23.9,"4,437.23","2,872.2",244.93,47.4,4.04,306.8,2.74,N/A,N/A,26.3,6.22,N/A,13.01
96,Black oak,32.1,"10,385.36","8,238.0",702.50,95.6,8.16,403.8,3.61,N/A,N/A,34.6,8.19,N/A,19.95
97,Northern red oak,31.6,"9,837.65","6,094.8",519.74,74.4,6.34,437.6,3.91,N/A,N/A,37.5,8.88,N/A,19.13
98,Pin oak,31.7,"9,899.16","4,517.3",385.22,58.9,5.02,"1,065.6",9.52,N/A,N/A,91.2,21.61,N/A,36.16
99,Prairie crabapple,9.1,742.27,330.3,28.16,14.2,1.21,48.4,0.43,N/A,N/A,4.1,0.98,N/A,2.63
100,American elm,2.8,39.15,13.5,1.15,2.5,0.21,11.0,0.10,N/A,N/A,0.9,0.22,N/A,0.54
101,Bur oak,2.5,78.30,10.5,0.90,1.2,0.10,10.6,0.09,N/A,N/A,0.9,0.22,N/A,0.41
102,Green ash,37.7,"13,432.83","4,415.9",376.56,44.1,3.76,903.0,8.07,N/A,N/A,77.3,18.32,N/A,30.14
103,Northern red oak,24.7,"6,139.09","3,349.9",285.66,52.3,4.46,409.1,3.66,N/A,N/A,35.0,8.30,N/A,16.42
104,Freeman maple,5.5,186.40,113.8,9.70,9.4,0.80,61.5,0.55,N/A,N/A,5.3,1.25,N/A,2.60
105,Prairie crabapple,5.0,144.57,76.2,6.50,6.0,0.51,18.0,0.16,N/A,N/A,1.5,0.36,N/A,1.04
106,Serviceberry spp,0.9,55.11,1.2,0.11,0.6,0.05,1.7,0.02,N/A,N/A,0.1,0.04,N/A,0.10
